State,City,Avg In Snow / Year
Iowa,Lake Park,39.9
Iowa,Onawa,30.3
Iowa,Shenandoah,25.1
Iowa,Sioux City,34.8
Iowa,Storm Lake,36.4
Indiana,Angola,36.7
Indiana,Fort Wayne,33.5
Indiana,Indiana Dunes Lakeshore,40.3
Indiana,Rochester,31.5
Indiana,South Bend,66.6
Indiana,Valparaiso,39.5
Indiana,Anderson,19.6
Indiana,Indianapolis,25.9
Indiana,Kokomo,37.8
Indiana,Lafayette,19.9
Indiana,Marion,24.6
Indiana,Muncie,25.4
Indiana,Richmond,15.6
Indiana,Bloomington,15.8
Indiana,Brookville,15.5
Indiana,Columbus,16.3
Indiana,Evansville,10.6
Indiana,Paoli,11.9
Indiana,Tell City,4.4
Illinois,Aurora,27.1
Illinois,Chicago Botanical Garden,33.4
Illinois,Chicago Midway Airport,37.1
Illinois,Chicago O'Hare Airport,36.7
Illinois,Elgin,29
Illinois,Antioch,42.7
Illinois,DeKalb,31.9
Illinois,Dixon,30.2
Illinois,Freeport,31.3
Illinois,Moline,31.6
Illinois,Rockford,36.7
Illinois,Cahokia,15.1
Illinois,Danville,17.9
Illinois,Peoria,24.6
Illinois,Quincy,22.3
Illinois,Springfield,20.9
Illinois,Urbana,23.2
Illinois,Cairo,4.4
Illinois,Marion,14.4
Illinois,Mt Vernon,13.9
Idaho,Idaho Falls,36.9
Idaho,Malad City,34
Idaho,Pocatello,66.4
Idaho,Preston,53.9
Idaho,Craters of the Moon Monument,95.7
Idaho,Ketchum,112.6
Idaho,"Lake Walcott, Minidoka Dam",23.4
Idaho,Middle Fork Lodge,40.3
Idaho,Salmon,24.8
Idaho,"Stanley, Sawtooth Recreation Area",75.9
Idaho,Twin Falls,27.2
Idaho,Boise,19.2
Idaho,Bruneau,2.5
Idaho,Idaho City,69.1
Idaho,"Lake Lowell, Deer Flat Dam",1.9
Idaho,McCall,135.7
Idaho,Mountain Home,10.3
Idaho,Coeur d’Alene,29.6
Idaho,Elk City,120.3
Idaho,Kellogg,49
Idaho,Lewiston,10.5
Idaho,Moscow,49.2
Idaho,Riggins,4.7
Idaho,Sandpoint,57.7
Idaho,Wallace,78.8
Connecticut,Bridgeport,28.1
Connecticut,Groton,23.2
Connecticut,Norwich,28
Connecticut,Stamford,31.2
Connecticut,Burlington,31.3
Connecticut,Danbury,45.3
Connecticut,Hartford,40.5
Connecticut,Mansfield Hollow Lake,30.2
Connecticut,Middletown,35.6
Connecticut,Norfolk,78.4
Connecticut,West Thompson Lake,36.8
Connecticut,Woodbury,43.3
Colorado,Alamosa,27.6
Colorado,Aspen,178.8
Colorado,Colorado National Monument,25.9
Colorado,Cortez,31.9
Colorado,Crested Butte,216.6
Colorado,Dinosaur National Monument,34.6
Colorado,Durango,64.4
Colorado,Glenwood Springs,46.1
Colorado,Grand Junction,19.1
Colorado,Gunnison,45.7
Colorado,Leadville,156.3
Colorado,Mesa Verde National Park,73.3
Colorado,Ouray,134.4
Colorado,Steamboat Springs,179.6
Colorado,Telluride,175.5
Colorado,Vail,190
Colorado,Boulder,88.3
Colorado,Burlington,37.8
Colorado,Canon City,40.8
Colorado,Colorado Springs,37.7
Colorado,Denver,53.8
Colorado,Estes Park,75.1
Colorado,Fort Collins,47.2
Colorado,Great Sand Dunes Monument,47
Colorado,Greeley,40.8
Colorado,Lakewood,55.8
Colorado,Pueblo,31.8
Colorado,Sterling,24.9
Colorado,Trinidad,39.1
