State,City,Avg In Rain / Year
Mississippi,Vicksburg,56.1
Mississippi,Clarksdale,53.5
Mississippi,Corinth City,56.7
Mississippi,Grenada,59.2
Mississippi,Holly Springs,57.5
Mississippi,Tunica,53.8
Mississippi,Tupelo,55
Mississippi,Jackson,111
Minnesota,Albert Lea,34.1
Minnesota,Faribault,32.6
Minnesota,Mankato,32.3
Minnesota,Minneapolis,30.6
Minnesota,Pipestone,27.6
Minnesota,Redwood Falls,27.5
Minnesota,Rochester,33
Minnesota,St. Paul,33.5
Minnesota,Winona,35.1
Minnesota,Worthington,29.2
Minnesota,Big Sandy Lake Dam,27.9
Minnesota,Duluth,31
Minnesota,Grand Marais,24.6
Minnesota,Grand Portage,31.2
Minnesota,Grand Rapids,28.9
Minnesota,Gunflint Lake,27.1
Minnesota,Hibbing,25.3
Minnesota,International Falls,24.2
Minnesota,Two Harbors,31.1
Minnesota,Wild River State Park,32.5
Minnesota,Agassiz Wildlife Refuge,23.1
Minnesota,Alexandria,25.1
Minnesota,Bemidji,26.6
Minnesota,Brainerd,28.4
Minnesota,Detroit Lakes,27.5
Minnesota,Moorhead,25
Minnesota,St. Cloud,27.7
Minnesota,Warroad,24.5
Minnesota,Waskish,25.6
Michigan,Ann Arbor,37.6
Michigan,Dearborn,33.9
Michigan,Detroit,33.5
Michigan,Flint,31.4
Michigan,Harbor Beach,34.1
Michigan,Monroe,34.4
Michigan,Port Huron,33.8
Michigan,Saginaw,33.2
Michigan,Battle Creek,33.2
Michigan,Benton Harbor,36.3
Michigan,Grand Rapids,38.3
Michigan,Holland,36.8
Michigan,Lansing,31.8
Michigan,Mt Pleasant,32.3
Michigan,Muskegon,33.5
Michigan,Alpena,28.1
Michigan,Cadillac,34
Michigan,Cheboygan,30.8
Michigan,East Tawas,31.3
Michigan,Frankfort,35
Michigan,Gaylord,36.2
Michigan,Harrisville,30.6
Michigan,Houghton Lake,30.8
Michigan,Ludington,36.2
Michigan,Petoskey,32
Michigan,Traverse City,33.1
Michigan,Champion Van Riper Park,32.8
Michigan,De Tour Village,30.5
Michigan,Escanaba,28.7
Michigan,Houghton,27.8
Michigan,Iron Mountain,29.7
Michigan,Ironwood,34.9
Michigan,Manistique,30.2
Michigan,Marquette,29.1
Michigan,Munising,38.5
Michigan,Sault Ste Marie,33
Michigan,Tahquamenon Falls Park,36.2
Michigan,Whitefish Point,32.3
Massachusetts,Chatham,47
Massachusetts,"Edgartown, Martha's Vineyard",46.9
Massachusetts,Hyannis,43.3
Massachusetts,Nantucket,44.4
Massachusetts,"Vineyard Haven, Martha's Vineyard",45.2
Massachusetts,Boston,43.8
Massachusetts,Brockton,49.9
Massachusetts,East Wareham,50.3
Massachusetts,"Great Blue Hill, Milton",53.4
Massachusetts,Haverhill,50
Massachusetts,Hingham,52.2
Massachusetts,Marblehead,48.3
Massachusetts,New Bedford,51.9
Massachusetts,Newburyport,49.8
Massachusetts,Plymouth,52.3
Massachusetts,Taunton,48.8
Massachusetts,Amherst,46
Massachusetts,Barre Falls Reservoir Dam,46.9
Massachusetts,Buffumville Lake,48.7
Massachusetts,East Brimfield Lake,47.7
Massachusetts,Lowell,47
Massachusetts,Tully Lake,46.7
Massachusetts,Worcester,48.1
Massachusetts,Great Barrington,48.6
Massachusetts,Knightville Reservoir Dam,49.3
Massachusetts,Lanesboro,46.2
Massachusetts,West Otis,47.7
Massachusetts,Worthington,53
Maryland,Assateague Island,44.1
Maryland,Chestertown,44.1
Maryland,Ocean City,42.4
Maryland,Royal Oak,46.8
Maryland,Salisbury,45.9
Maryland,Snow Hill,46.1
Maryland,Aberdeen,44.8
Maryland,Annapolis,47.3
Maryland,Baltimore,41.9
Maryland,Beltsville,41.8
Maryland,Catoctin Mountain Park,47.3
Maryland,College Park,43.7
Maryland,Frederick,41
Maryland,La Plata,43.6
Maryland,Rockville,40.3
Maryland,Cumberland,37.4
Maryland,Hagerstown,39.3
Maryland,Oakland,47.8
Maryland,Savage River Reservoir Dam,39.8
Maine,Acadia National Park,56.7
Maine,Belfast,47.9
Maine,Brunswick,51.1
Maine,Eastport,45.8
Maine,Ellsworth,46.2
Maine,Jonesboro,51.2
Maine,Kennebunkport,51.1
